fund_return_category_rank_1year,fund_beta_3years,fund_stdev_3years,fund_return_category_rank_ytd,fund_beta_5years,fund_stdev_5years,fund_stdev_10years,fund_r_squared_3years,fund_return_category_rank_3months,fund_return_2020_q1,fund_category,investment_type,size_type,morningstar_risk_rating
60.0,1.01,16.41,81.0,1.01,13.51,13.17,87.57,67.0,-0.14162,High Yield Bond,Blend,Small,3.0
60.0,1.01,16.41,81.0,1.01,13.51,13.17,87.57,67.0,-0.16424,High Yield Bond,Blend,Small,3.0
69.0,0.47,8.88,58.0,0.45,7.1,6.56,3.27,63.0,-0.12312,High Yield Bond,Growth,Small,3.0
92.0,0.68,7.42,94.0,0.61,5.98,5.74,9.79,41.0,-0.0942,High Yield Bond,Unknown,Unknown,2.0
38.0,1.26,5.22,31.0,1.21,4.85,4.26,94.2,44.0,-0.01666,Muni National Long,Blend,Medium,3.0
55.0,0.49,8.91,49.0,0.46,7.12,6.59,3.48,51.0,-0.12216,High Yield Bond,Growth,Small,3.0
53.0,0.55,8.93,54.0,0.47,7.27,7.47,4.4,31.0,-0.12008,High Yield Bond,Value,Small,3.0
50.0,0.47,8.86,40.0,0.45,7.08,6.57,3.29,46.0,-0.12043,High Yield Bond,Growth,Small,3.0
5.0,1.01,16.41,39.0,1.01,13.51,13.17,87.57,29.0,-0.20537,Target-Date 2050,Blend,Large,3.0
4.0,1.01,16.41,17.0,1.01,13.51,13.17,87.57,13.0,-0.18816,Target-Date 2035,Blend,Large,3.0
14.0,1.01,16.41,55.0,1.01,13.51,13.17,87.57,45.0,-0.20515,Target-Date 2060+,Blend,Large,3.0
5.0,1.01,16.41,11.0,1.01,13.51,13.17,87.57,16.0,-0.20498,Target-Date 2040,Blend,Large,3.0
6.0,1.01,16.41,23.0,1.01,13.51,13.17,87.57,20.0,-0.18966,Target-Date 2035,Blend,Large,3.0
93.0,1.01,16.41,95.0,1.01,13.51,13.17,87.57,95.0,-0.05364,Target-Date 2000-2010,Blend,Large,3.0
14.0,1.01,16.41,51.0,1.01,13.51,13.17,87.57,46.0,-0.20577,Target-Date 2050,Blend,Large,3.0
35.0,1.05,19.01,96.0,1.06,16.32,16.58,94.77,82.0,-0.22379,Europe Stock,Blend,Large,3.0
33.0,1.05,19.01,95.0,1.06,16.33,16.59,94.75,74.0,-0.22216,Europe Stock,Blend,Large,3.0
34.0,1.05,19.02,95.0,1.06,16.33,16.59,94.78,79.0,-0.22289,Europe Stock,Blend,Large,3.0
42.0,0.87,20.37,49.0,0.89,17.66,19.84,56.13,90.0,-0.10853,China Region,Blend,Large,3.0
40.0,0.87,20.39,48.0,0.89,17.66,19.84,56.16,90.0,-0.10774,China Region,Blend,Large,3.0
31.0,1.01,16.41,59.0,1.01,13.51,13.17,87.57,63.0,-0.27459,Diversified Emerging Mkts,Blend,Large,3.0
40.0,0.87,20.38,48.0,0.89,17.66,19.84,56.14,90.0,-0.10797,China Region,Blend,Large,3.0
42.0,0.87,20.37,49.0,0.89,17.66,19.84,56.19,91.0,-0.10906,China Region,Blend,Large,3.0
5.0,1.01,16.41,29.0,1.01,13.51,13.17,87.57,26.0,-0.20535,Target-Date 2045,Blend,Large,3.0
12.0,1.01,16.41,25.0,1.01,13.51,13.17,87.57,19.0,-0.13213,Target-Date 2025,Blend,Large,3.0
51.0,1.01,16.41,78.0,1.01,13.51,13.17,87.57,72.0,-0.20729,Target-Date 2060+,Blend,Large,3.0
62.0,1.01,16.41,54.0,1.01,13.51,13.17,87.57,44.0,-0.23005,Foreign Large Blend,Blend,Large,3.0
94.0,1.01,16.41,94.0,1.01,13.51,13.17,87.57,45.0,0.09968,Allocation--30% to 50% Equity,Blend,Large,3.0
93.0,1.01,16.41,95.0,1.01,13.51,13.17,87.57,48.0,0.10052,Allocation--30% to 50% Equity,Blend,Large,3.0
31.0,1.31,26.2,37.0,1.29,21.51,19.58,85.93,14.0,-0.31306,Small Blend,Blend,Small,4.0
37.0,1.01,16.41,70.0,1.01,13.51,13.17,87.57,66.0,-0.2067,Target-Date 2060+,Blend,Large,3.0
48.0,1.01,16.41,67.0,1.01,13.51,13.17,87.57,50.0,-0.04427,Corporate Bond,Growth,Medium,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,82.0,-0.16424,Muni National Short,Unknown,Unknown,3.0
17.0,1.01,16.41,27.0,1.01,13.51,13.17,87.57,17.0,-0.1172,Target-Date 2020,Blend,Large,3.0
29.0,1.01,16.41,62.0,1.01,13.51,13.17,87.57,40.0,-0.2065,Target-Date 2060+,Blend,Large,3.0
88.0,1.01,16.41,87.0,1.01,13.51,13.17,87.57,8.0,0.08455,Intermediate Government,Blend,Large,3.0
4.0,1.01,16.41,9.0,1.01,13.51,13.17,87.57,13.0,-0.20535,Target-Date 2040,Blend,Large,3.0
19.0,1.01,16.41,49.0,1.01,13.51,13.17,87.57,28.0,-0.09724,Target-Date 2015,Blend,Large,3.0
7.0,1.01,16.41,17.0,1.01,13.51,13.17,87.57,21.0,-0.2069,Target-Date 2040,Blend,Large,3.0
37.0,1.01,16.41,45.0,1.01,13.51,13.17,87.57,21.0,-0.14041,Large Growth,Growth,Large,3.0
48.0,1.01,16.41,61.0,1.01,13.51,13.17,87.57,57.0,-0.07641,Target-Date 2000-2010,Blend,Large,3.0
10.0,1.01,16.41,51.0,1.01,13.51,13.17,87.57,38.0,-0.20574,Target-Date 2055,Blend,Large,3.0
53.0,1.01,16.41,14.0,1.01,13.51,13.17,87.57,95.0,0.03003,Intermediate Core Bond,Value,Large,3.0
4.0,1.01,16.41,20.0,1.01,13.51,13.17,87.57,12.0,-0.18816,Target-Date 2035,Blend,Large,3.0
93.0,1.01,16.41,95.0,1.01,13.51,13.17,87.57,95.0,-0.05364,Target-Date 2000-2010,Blend,Large,3.0
14.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,44.0,-0.20537,Target-Date 2055,Blend,Large,3.0
86.0,1.01,16.41,75.0,1.01,13.51,13.17,87.57,76.0,0.00771,Ultrashort Bond,Value,Large,3.0
51.0,0.5,8.83,46.0,0.42,7.22,7.62,3.7,21.0,-0.1173,High Yield Bond,Value,Small,4.0
13.0,1.01,16.41,28.0,1.01,13.51,13.17,87.57,33.0,-0.15392,Target-Date 2030,Blend,Large,3.0
85.0,1.01,16.41,87.0,1.01,13.51,13.17,87.57,82.0,-0.03861,Target-Date Retirement,Blend,Large,3.0
35.0,1.01,16.41,76.0,1.01,13.51,13.17,87.57,68.0,-0.20769,Target-Date 2055,Blend,Large,3.0
56.0,0.85,9.72,69.0,0.86,7.96,8.38,98.18,66.0,-0.11212,Target-Date 2025,Blend,Large,2.0
47.0,0.52,8.84,42.0,0.44,7.26,7.62,3.96,18.0,-0.11591,High Yield Bond,Value,Small,3.0
57.0,0.75,8.64,69.0,0.77,7.12,7.7,97.63,59.0,-0.09766,Target-Date 2020,Blend,Large,3.0
5.0,1.01,16.41,21.0,1.01,13.51,13.17,87.57,15.0,-0.18834,Target-Date 2035,Blend,Large,3.0
75.0,1.01,16.41,57.0,1.01,13.51,13.17,87.57,55.0,-0.28304,World Small/Mid Stock,Blend,Medium,3.0
94.0,1.01,16.41,96.0,1.01,13.51,13.17,87.57,74.0,0.09072,World Allocation,Blend,Large,3.0
11.0,1.01,16.41,24.0,1.01,13.51,13.17,87.57,19.0,-0.13308,Target-Date 2025,Blend,Large,3.0
75.0,1.01,16.41,57.0,1.01,13.51,13.17,87.57,55.0,-0.16424,World Small/Mid Stock,Blend,Medium,3.0
12.0,1.01,16.41,53.0,1.01,13.51,13.17,87.57,39.0,-0.20554,Target-Date 2060+,Blend,Large,3.0
28.0,1.01,16.41,67.0,1.01,13.51,13.17,87.57,65.0,-0.20633,Target-Date 2055,Blend,Large,3.0
53.0,1.67,7.41,59.0,1.44,6.29,5.4,80.52,55.0,-0.06143,High Yield Muni,Growth,Small,3.0
6.0,0.38,10.65,5.0,0.39,8.47,8.15,1.51,7.0,-0.15037,High Yield Bond,Value,Small,4.0
1.0,1.48,17.0,1.0,1.48,13.71,12.73,98.09,4.0,-0.20664,Target-Date 2040,Blend,Large,5.0
20.0,1.01,16.41,62.0,1.01,13.51,13.17,87.57,49.0,-0.20633,Target-Date 2055,Blend,Large,3.0
45.0,1.27,5.23,36.0,1.21,4.85,4.26,94.25,53.0,-0.0175,Muni National Long,Blend,Medium,3.0
51.0,1.01,16.41,70.0,1.01,13.51,13.17,87.57,28.0,0.23549,Mid-Cap Blend,Growth,Medium,3.0
51.0,1.01,16.41,52.0,1.01,13.51,13.17,87.57,50.0,-0.16424,Mid-Cap Blend,Growth,Medium,3.0
13.0,1.01,16.41,28.0,1.01,13.51,13.17,87.57,41.0,-0.19002,Target-Date 2035,Blend,Large,3.0
9.0,1.01,16.41,49.0,1.01,13.51,13.17,87.57,33.0,-0.20518,Target-Date 2055,Blend,Large,3.0
8.0,1.01,16.41,45.0,1.01,13.51,13.17,87.57,44.0,-0.20537,Target-Date 2050,Blend,Large,3.0
16.0,1.01,16.41,26.0,1.01,13.51,13.17,87.57,17.0,-0.1172,Target-Date 2020,Blend,Large,3.0
8.0,1.01,16.41,44.0,1.01,13.51,13.17,87.57,42.0,-0.20481,Target-Date 2050,Blend,Large,3.0
9.0,1.01,16.41,47.0,1.01,13.51,13.17,87.57,39.0,-0.20577,Target-Date 2050,Blend,Large,3.0
22.0,1.01,16.41,48.0,1.01,13.51,13.17,87.57,28.0,-0.09819,Target-Date 2015,Blend,Large,3.0
6.0,1.01,16.41,33.0,1.01,13.51,13.17,87.57,27.0,-0.20574,Target-Date 2045,Blend,Large,3.0
29.0,1.01,16.41,73.0,1.01,13.51,13.17,87.57,65.0,-0.20753,Target-Date 2050,Blend,Large,3.0
6.0,0.38,10.65,5.0,0.38,8.48,8.15,1.43,8.0,-0.15043,High Yield Bond,Value,Small,4.0
9.0,0.38,10.63,6.0,0.38,8.46,8.15,1.5,10.0,-0.15219,High Yield Bond,Value,Small,4.0
4.0,1.01,16.41,10.0,1.01,13.51,13.17,87.57,10.0,-0.20574,Target-Date 2040,Blend,Large,3.0
22.0,1.01,16.41,62.0,1.01,13.51,13.17,87.57,58.0,-0.20693,Target-Date 2050,Blend,Large,3.0
72.0,1.26,5.36,74.0,1.15,4.79,4.78,87.78,62.0,-0.0325,High Yield Muni,Growth,Small,1.0
62.0,1.26,5.36,68.0,1.15,4.81,4.77,86.95,57.0,-0.03135,High Yield Muni,Growth,Small,1.0
51.0,0.49,9.0,52.0,0.46,7.19,6.61,3.45,50.0,-0.12418,High Yield Bond,Value,Small,3.0
6.0,0.39,10.73,5.0,0.39,8.54,8.19,1.51,8.0,-0.1509,High Yield Bond,Value,Small,4.0
57.0,1.26,5.38,63.0,1.15,4.82,4.8,87.14,54.0,-0.03157,High Yield Muni,Growth,Small,1.0
5.0,1.01,16.41,21.0,1.01,13.51,13.17,87.57,14.0,-0.18852,Target-Date 2035,Blend,Large,3.0
7.0,1.01,16.41,23.0,1.01,13.51,13.17,87.57,27.0,-0.20749,Target-Date 2040,Blend,Large,3.0
40.0,0.96,17.47,37.0,0.97,14.73,14.79,93.99,87.0,-0.20596,Foreign Large Growth,Growth,Large,3.0
80.0,0.4,4.88,83.0,0.41,4.05,3.83,86.0,81.0,-0.04724,Target-Date Retirement,Blend,Large,2.0
70.0,0.86,15.87,26.0,0.87,13.56,13.64,91.01,17.0,-0.17625,Foreign Large Growth,Growth,Large,2.0
36.0,1.09,19.71,59.0,1.06,16.07,15.31,94.58,90.0,-0.28147,Foreign Small/Mid Blend,Blend,Medium,1.0
72.0,0.83,15.61,72.0,0.85,13.54,14.68,87.27,63.0,-0.17105,Foreign Large Growth,Growth,Large,3.0
98.0,0.81,3.52,92.0,0.81,3.28,13.17,59.43,56.0,-0.16424,Inflation-Protected Bond,Growth,Large,2.0
51.0,1.14,8.12,52.0,1.16,6.97,6.53,23.12,50.0,-0.08132,World Bond,Value,Large,3.0
97.0,-0.37,5.23,96.0,-0.42,5.17,6.38,5.98,83.0,-0.03934,Nontraditional Bond,Value,Small,3.0
71.0,0.97,11.39,39.0,0.96,9.19,13.17,93.27,26.0,-0.15678,World Allocation,Value,Large,2.0
88.0,1.02,3.56,83.0,1.01,13.51,13.17,98.9,49.0,0.03533,Intermediate Core Bond,Blend,Large,3.0
97.0,-0.38,5.26,97.0,-0.42,5.19,6.38,6.12,84.0,-0.03971,Nontraditional Bond,Value,Small,4.0
51.0,1.08,20.63,52.0,1.01,16.66,15.73,85.59,50.0,-0.25603,Miscellaneous Region,Blend,Large,2.0
51.0,1.08,20.63,52.0,1.01,16.66,15.73,85.61,50.0,-0.25622,Miscellaneous Region,Blend,Large,3.0
85.0,0.97,18.92,42.0,0.97,15.58,14.74,89.5,16.0,-0.12694,Large Growth,Growth,Large,3.0
12.0,0.99,18.96,1.0,1.01,15.76,14.67,93.4,17.0,-0.16515,Large Growth,Growth,Large,3.0
12.0,0.99,18.98,1.0,1.01,15.78,14.67,93.32,16.0,-0.16452,Large Growth,Growth,Large,3.0
11.0,0.99,18.97,1.0,1.01,15.76,14.69,93.41,16.0,-0.16426,Large Growth,Growth,Large,3.0
22.0,0.42,1.94,30.0,0.51,2.01,1.93,60.07,80.0,0.02123,Intermediate Government,Blend,Large,2.0
46.0,0.96,3.95,48.0,1.0,3.98,3.68,96.38,68.0,-0.00842,Muni Single State Long,Blend,Medium,3.0
54.0,1.09,19.68,65.0,1.06,16.04,15.28,94.64,91.0,-0.28261,Foreign Small/Mid Blend,Blend,Medium,1.0
19.0,1.29,15.92,5.0,1.26,12.72,12.48,84.58,25.0,-0.12003,Convertibles,Blend,Medium,4.0
87.0,0.55,6.33,65.0,0.56,5.28,13.17,95.65,78.0,-0.06101,Allocation--30% to 50% Equity,Value,Large,1.0
88.0,1.23,24.19,82.0,1.18,20.47,18.87,83.67,70.0,-0.30104,Financial,Value,Medium,3.0
91.0,1.23,24.19,87.0,1.18,20.45,18.86,83.73,70.0,-0.30296,Financial,Value,Medium,3.0
53.0,1.22,24.42,34.0,1.18,19.39,16.87,86.05,68.0,-0.32241,Mid-Cap Value,Value,Medium,3.0
54.0,1.14,23.47,59.0,1.1,18.89,17.73,80.26,51.0,-0.22376,Small Growth,Growth,Small,2.0
39.0,0.96,17.47,37.0,0.97,14.73,14.78,93.98,86.0,-0.20566,Foreign Large Growth,Growth,Large,3.0
8.0,1.1,21.36,3.0,1.1,17.37,15.79,91.9,67.0,-0.2529,Large Blend,Value,Large,5.0
51.0,0.77,14.89,52.0,0.77,12.82,13.17,82.69,50.0,-0.17487,Foreign Large Value,Value,Large,1.0
42.0,1.32,26.41,47.0,1.28,21.73,19.4,80.65,48.0,-0.34991,Financial,Value,Medium,3.0
65.0,0.83,15.6,65.0,0.85,13.54,14.68,87.34,58.0,-0.16977,Foreign Large Growth,Growth,Large,2.0
62.0,1.24,23.71,5.0,1.19,20.17,19.36,85.41,6.0,-0.36847,Diversified Emerging Mkts,Value,Large,5.0
60.0,1.0,17.92,56.0,1.0,14.78,14.82,96.71,10.0,-0.22784,Foreign Large Value,Blend,Large,2.0
29.0,1.05,19.02,95.0,1.07,16.34,16.6,94.78,74.0,-0.22152,Europe Stock,Blend,Large,3.0
67.0,0.95,10.89,31.0,0.96,8.9,13.17,97.24,52.0,-0.13801,Allocation--50% to 70% Equity,Value,Large,2.0
26.0,1.0,17.68,18.0,0.99,14.7,14.54,98.4,73.0,-0.21984,Foreign Large Growth,Blend,Large,3.0
88.0,1.03,12.0,37.0,1.04,9.76,8.99,94.79,89.0,-0.16128,Allocation--70% to 85% Equity,Value,Large,1.0
80.0,0.42,1.77,93.0,0.46,1.78,1.74,69.89,54.0,-0.16424,Short-Term Bond,Value,Medium,3.0
6.0,1.48,16.95,7.0,1.48,13.67,12.63,98.37,13.0,-0.20613,Target-Date 2040,Blend,Large,5.0
34.0,1.01,16.41,25.0,1.01,13.51,13.17,87.57,11.0,-0.2296,Commodities Broad Basket,Unknown,Unknown,3.0
52.0,0.6,8.74,62.0,0.5,6.93,6.46,5.44,29.0,-0.11858,High Yield Bond,Value,Small,3.0
40.0,0.6,8.88,44.0,0.52,7.06,6.54,5.26,25.0,-0.11911,High Yield Bond,Value,Small,3.0
41.0,0.57,8.68,43.0,0.53,6.9,6.47,5.0,26.0,-0.11723,High Yield Bond,Value,Small,3.0
61.0,1.01,16.41,59.0,1.01,13.51,13.17,87.57,80.0,-0.12079,Large Growth,Growth,Large,3.0
64.0,1.01,16.41,62.0,1.01,13.51,13.17,87.57,81.0,-0.12263,Large Growth,Growth,Large,3.0
66.0,1.01,16.41,65.0,1.01,13.51,13.17,87.57,82.0,-0.12208,Large Growth,Growth,Large,3.0
71.0,1.01,16.41,69.0,1.01,13.51,13.17,87.57,83.0,-0.12348,Large Growth,Growth,Large,3.0
51.0,1.0,18.92,68.0,1.0,15.33,13.7,95.92,66.0,-0.16082,Large Growth,Growth,Large,2.0
61.0,1.01,16.41,58.0,1.01,13.51,13.17,87.57,80.0,-0.12079,Large Growth,Growth,Large,3.0
60.0,1.01,16.41,57.0,1.01,13.51,13.17,87.57,80.0,-0.12145,Large Growth,Growth,Large,3.0
87.0,1.01,16.41,79.0,1.01,13.51,13.17,87.57,56.0,0.03529,Intermediate Core Bond,Blend,Large,3.0
78.0,0.86,15.89,29.0,0.87,13.58,13.62,90.98,23.0,-0.17802,Foreign Large Growth,Growth,Large,2.0
67.0,0.86,15.86,24.0,0.87,13.54,13.61,90.97,17.0,-0.17577,Foreign Large Growth,Growth,Large,2.0
96.0,0.46,2.42,96.0,0.5,2.22,2.06,44.24,50.0,0.04863,Short Government,Value,Large,5.0
98.0,0.45,2.42,98.0,0.49,2.2,2.03,43.44,75.0,0.04734,Short Government,Value,Large,5.0
14.0,0.78,8.92,38.0,0.79,7.31,7.29,97.48,31.0,-0.10316,Target-Date 2015,Blend,Large,3.0
39.0,0.96,17.48,37.0,0.97,14.73,14.78,93.98,87.0,-0.2059,Foreign Large Growth,Growth,Large,3.0
53.0,0.86,15.93,15.0,0.87,13.59,13.71,91.0,14.0,-0.17352,Foreign Large Growth,Growth,Large,2.0
92.0,0.46,2.43,94.0,0.5,2.22,2.06,44.27,38.0,0.04922,Short Government,Value,Large,5.0
62.0,0.51,8.96,53.0,0.48,7.16,6.66,3.79,41.0,-0.12121,High Yield Bond,Growth,Small,3.0
34.0,1.33,15.21,50.0,1.33,12.3,11.58,98.98,23.0,-0.17391,Target-Date 2035,Blend,Large,4.0
62.0,0.53,8.94,56.0,0.5,7.15,6.65,4.1,50.0,-0.12105,High Yield Bond,Growth,Small,3.0
76.0,0.53,8.13,92.0,0.4,6.48,6.7,4.85,39.0,-0.12261,High Yield Bond,Unknown,Unknown,3.0
21.0,1.24,24.08,74.0,1.22,19.29,16.89,91.69,76.0,-0.29881,Mid-Cap Blend,Blend,Medium,4.0
27.0,1.24,24.04,79.0,1.22,19.26,16.88,91.63,79.0,-0.30024,Mid-Cap Blend,Blend,Medium,4.0
72.0,0.9,4.95,32.0,0.86,4.1,3.64,38.31,93.0,-0.03514,Corporate Bond,Value,Medium,1.0
14.0,1.63,8.11,38.0,1.46,6.58,5.4,47.32,23.0,-0.05719,Corporate Bond,Growth,Medium,4.0
67.0,0.86,15.88,23.0,0.87,13.56,13.64,90.9,16.0,-0.17558,Foreign Large Growth,Growth,Large,2.0
12.0,1.62,8.12,35.0,1.45,6.6,5.4,46.69,20.0,-0.05716,Corporate Bond,Growth,Medium,4.0
12.0,1.61,8.07,37.0,1.44,6.56,5.38,46.57,26.0,-0.05613,Corporate Bond,Growth,Medium,4.0
20.0,1.24,24.04,72.0,1.22,19.26,16.88,91.64,75.0,-0.29815,Mid-Cap Blend,Blend,Medium,4.0
83.0,0.77,14.53,76.0,0.79,12.82,12.84,86.27,2.0,-0.17194,Foreign Large Value,Blend,Large,1.0
81.0,0.77,14.53,74.0,0.79,12.82,12.83,86.25,1.0,-0.17093,Foreign Large Value,Blend,Large,1.0
81.0,0.77,14.56,76.0,0.79,12.84,12.85,86.17,1.0,-0.17079,Foreign Large Value,Blend,Large,1.0
95.0,0.77,14.9,93.0,0.79,12.45,13.4,86.16,40.0,-0.14371,World Large-Stock Blend,Value,Large,2.0
94.0,0.77,14.92,92.0,0.79,12.46,13.4,86.13,38.0,-0.14347,World Large-Stock Blend,Value,Large,1.0
93.0,0.77,14.94,91.0,0.79,12.48,13.42,86.11,37.0,-0.14347,World Large-Stock Blend,Value,Large,1.0
59.0,0.75,8.64,71.0,0.77,7.12,7.7,97.6,62.0,-0.09823,Target-Date 2020,Blend,Large,3.0
61.0,1.16,4.78,52.0,1.11,4.45,4.0,94.4,65.0,-0.00769,Muni New York Long,Blend,Medium,3.0
86.0,1.07,4.34,87.0,1.07,4.22,3.9,99.0,88.0,-0.0088,Muni California Long,Blend,Medium,2.0
33.0,0.77,15.83,50.0,0.77,13.93,12.65,76.81,39.0,-0.16561,Consumer Defensive,Value,Large,4.0
60.0,0.71,35.54,26.0,0.77,31.28,34.9,13.07,19.0,-0.19024,Equity Precious Metals,Growth,Medium,2.0
5.0,0.52,4.9,6.0,0.51,3.9,3.29,13.09,2.0,-0.05623,Short-Term Bond,Value,Small,5.0
42.0,1.19,23.7,53.0,1.17,19.39,19.2,81.46,51.0,-0.26278,Natural Resources,Blend,Medium,3.0
96.0,0.66,14.21,87.0,0.67,12.72,12.36,70.05,97.0,-0.08086,Communications,Value,Large,1.0
83.0,0.5,5.88,83.0,0.51,4.88,5.23,91.37,82.0,-0.06126,Target-Date 2000-2010,Blend,Large,2.0
37.0,0.64,7.4,53.0,0.65,6.11,6.45,95.74,54.0,-0.08291,Target-Date 2000-2010,Blend,Large,3.0
13.0,0.78,8.96,35.0,0.79,7.35,7.31,97.55,38.0,-0.10351,Target-Date 2015,Blend,Large,3.0
16.0,0.91,10.39,24.0,0.92,8.46,8.3,98.3,16.0,-0.12274,Target-Date 2020,Blend,Large,4.0
11.0,1.01,11.54,16.0,1.02,9.38,9.37,98.61,16.0,-0.13711,Target-Date 2025,Blend,Large,4.0
13.0,1.16,13.3,27.0,1.17,10.83,10.56,98.59,30.0,-0.15862,Target-Date 2030,Blend,Large,4.0
6.0,1.38,15.74,13.0,1.38,12.76,12.1,98.54,14.0,-0.19054,Target-Date 2035,Blend,Large,5.0
6.0,1.48,16.98,6.0,1.48,13.68,12.64,98.4,13.0,-0.20579,Target-Date 2040,Blend,Large,5.0
10.0,1.48,17.0,26.0,1.48,13.7,12.74,98.41,24.0,-0.20623,Target-Date 2045,Blend,Large,3.0
10.0,1.48,16.99,36.0,1.48,13.69,12.84,98.42,33.0,-0.20623,Target-Date 2050,Blend,Large,3.0
14.0,1.48,16.98,40.0,1.48,13.69,12.92,98.37,29.0,-0.20575,Target-Date 2055,Blend,Large,3.0
18.0,1.48,16.98,49.0,1.48,13.69,13.17,98.43,38.0,-0.20586,Target-Date 2060+,Blend,Large,3.0
80.0,0.39,4.81,83.0,0.4,4.0,3.8,85.66,81.0,-0.04638,Target-Date Retirement,Blend,Large,2.0
94.0,0.4,6.44,79.0,0.33,5.12,13.17,4.35,94.0,-0.08576,High Yield Bond,Unknown,Unknown,1.0
93.0,0.88,22.29,92.0,0.92,21.81,23.31,50.36,88.0,-0.11253,Health,Blend,Medium,5.0
78.0,1.19,22.68,67.0,1.18,18.6,16.37,88.88,44.0,-0.21584,Consumer Cyclical,Growth,Large,2.0
64.0,2.05,41.91,47.0,1.9,34.59,29.24,77.42,52.0,-0.52223,Equity Energy,Value,Large,3.0
35.0,1.33,26.62,36.0,1.28,21.88,19.49,80.44,47.0,-0.35569,Financial,Value,Medium,3.0
63.0,0.76,18.01,56.0,0.8,16.2,15.66,57.61,61.0,-0.11012,Health,Growth,Large,3.0
15.0,1.11,22.7,6.0,1.08,18.28,15.34,81.55,95.0,-0.29327,Large Value,Value,Large,4.0
80.0,1.27,24.38,92.0,1.23,19.96,17.81,88.01,70.0,-0.28697,Industrials,Blend,Medium,3.0
98.0,0.32,4.06,99.0,0.33,3.4,3.19,80.56,97.0,-0.0208,Target-Date Retirement,Blend,Large,1.0
16.0,1.3,26.41,4.0,1.27,22.46,20.88,78.25,19.0,-0.19795,Technology,Growth,Large,5.0
35.0,1.17,23.25,56.0,1.17,19.56,18.15,81.21,15.0,-0.11307,Technology,Growth,Large,3.0
33.0,0.51,15.39,73.0,0.48,13.7,12.67,35.23,57.0,-0.18195,Utilities,Value,Medium,4.0
88.0,0.79,17.54,67.0,0.75,15.18,15.86,65.34,75.0,-0.22952,Real Estate,Blend,Medium,3.0
61.0,0.87,18.1,26.0,1.01,13.51,13.17,74.81,1.0,-0.24682,Global Real Estate,Blend,Medium,3.0
80.0,0.73,14.98,93.0,0.75,12.72,14.72,76.89,79.0,-0.1983,Global Real Estate,Blend,Medium,2.0
94.0,0.74,17.11,95.0,0.68,13.46,10.36,60.17,94.0,-0.25557,Real Estate,Value,Medium,2.0
23.0,1.23,25.7,28.0,1.19,20.66,17.9,78.71,22.0,-0.32071,Small Value,Value,Small,2.0
58.0,1.6,7.39,69.0,1.47,6.15,5.34,54.68,37.0,-0.03886,Corporate Bond,Growth,Medium,3.0
79.0,0.88,3.77,77.0,0.9,3.41,3.13,65.5,12.0,0.06951,Intermediate Government,Blend,Large,4.0
31.0,1.03,3.8,33.0,1.02,3.45,3.23,88.12,16.0,0.01819,Intermediate Core Bond,Blend,Medium,4.0
67.0,0.52,2.76,90.0,0.49,2.3,2.12,42.49,35.0,-0.01203,Short-Term Bond,Value,Medium,3.0
81.0,0.3,1.62,75.0,0.28,1.36,1.11,41.96,88.0,-0.00071,Short-Term Bond,Value,Medium,2.0
55.0,0.45,1.99,16.0,0.54,2.07,2.13,64.12,97.0,0.02291,Intermediate Core Bond,Value,Large,1.0
68.0,0.45,5.45,63.0,0.45,4.42,3.95,88.8,46.0,-0.05475,Allocation--15% to 30% Equity,Blend,Large,2.0
26.0,0.62,7.26,30.0,0.62,5.86,5.3,94.1,12.0,-0.07587,Allocation--15% to 30% Equity,Blend,Large,4.0
52.0,0.78,9.0,59.0,0.78,7.24,6.62,96.44,24.0,-0.0975,Allocation--30% to 50% Equity,Blend,Large,3.0
17.0,0.94,10.76,29.0,0.93,8.64,7.97,97.56,9.0,-0.11841,Allocation--30% to 50% Equity,Blend,Large,4.0
93.0,0.81,3.56,92.0,0.82,3.3,13.17,58.95,56.0,0.04053,Inflation-Protected Bond,Growth,Large,2.0
47.0,0.27,1.93,46.0,0.26,1.58,1.31,23.03,66.0,-0.00879,Short-Term Bond,Value,Medium,2.0
37.0,1.0,17.82,64.0,0.98,14.61,14.48,97.25,72.0,-0.22313,Foreign Large Blend,Blend,Large,3.0
60.0,1.09,21.35,76.0,1.07,17.62,16.6,80.4,24.0,-0.2018,Foreign Large Growth,Growth,Large,5.0
18.0,0.76,8.7,41.0,1.01,13.51,13.17,97.88,27.0,-0.09749,Target-Date 2015,Blend,Large,3.0
66.0,0.91,3.72,68.0,0.91,3.63,3.23,97.14,58.0,-0.00111,Muni Minnesota,Blend,Medium,3.0
21.0,1.0,19.4,54.0,1.02,16.72,17.28,82.07,68.0,-0.21856,Diversified Emerging Mkts,Blend,Large,3.0
38.0,1.2,24.98,46.0,1.18,20.53,19.35,79.43,47.0,-0.20796,Small Growth,Growth,Small,3.0
21.0,0.92,3.9,14.0,1.01,13.51,13.17,89.38,28.0,-0.01766,Muni Target Maturity,Value,Medium,3.0
58.0,0.94,3.81,56.0,0.92,3.63,3.34,98.72,49.0,-0.00618,Muni National Interm,Blend,Medium,3.0
74.0,0.55,2.25,61.0,0.63,2.57,2.42,96.03,79.0,-0.00266,Muni National Interm,Value,Medium,1.0
